2992023 170100;14868;14870;14850.25;14867.25;5872
2992023 170000;14866.25;14875.25;14860;14868.25;10441
2992023 165900;14874;14874.75;14864.75;14866;2607
2992023 165800;14857;14875.25;14856.5;14873.75;3305
2992023 165700;14854;14858;14840.25;14856.25;3230
2992023 165600;14886.25;14886.75;14845.5;14853.75;4766
2992023 165500;14902;14907;14872.75;14886.5;3927
2992023 165400;14926;14926.5;14900;14901.25;2750
2992023 165300;14922.25;14929;14919;14926.25;2721
2992023 165200;14913.5;14924.5;14906;14922;3146
2992023 165100;14889.5;14915.25;14882.75;14913.5;4583
2992023 165000;14881.5;14891;14879.25;14889.5;942
2992023 164900;14886.5;14891.25;14875.75;14881.75;1770
2992023 164800;14880.5;14889.75;14879.25;14886.5;1749
2992023 164700;14865.5;14880.75;14859.75;14879.5;1627
2992023 164600;14858.5;14866;14856;14865.75;1113
2992023 164500;14865;14869.75;14856;14858.5;1110
2992023 164400;14868;14871.5;14854.75;14864.75;1863
2992023 164300;14864.5;14872.5;14860.75;14868;1732
2992023 164200;14880;14881.75;14863.5;14865.25;1559
2992023 164100;14879;14881.5;14873.75;14880.5;879
2992023 164000;14873;14882.75;14866.75;14879.5;1812
2992023 163900;14873.75;14878.25;14870.75;14874.25;749
2992023 163800;14863.5;14877;14863.25;14873.5;980
2992023 163700;14865.75;14872;14862.5;14863.25;982
2992023 163600;14862.25;14866.75;14858;14865.75;1206
2992023 163500;14867;14869.5;14861.5;14862.25;968
2992023 163400;14871.5;14874;14862.75;14866.75;927
2992023 163300;14869.5;14879;14865;14872;1198
2992023 163200;14868.5;14874.75;14865.25;14869.25;993
2992023 163100;14877.25;14880;14865.25;14868.25;1213
2992023 163000;14881.5;14883.5;14874.75;14877.25;782
2992023 162900;14863.5;14883.5;14863.5;14881.75;1620
2992023 162800;14861.75;14870.75;14858;14862.75;1191
2992023 162700;14873.25;14875.5;14858.25;14862.25;2162
2992023 162600;14876.75;14878.5;14870;14873.25;997
2992023 162500;14881.75;14885.25;14874;14876.25;705
2992023 162400;14881;14886.25;14873.75;14882;915
2992023 162300;14879;14883;14874.25;14880.75;785
2992023 162200;14878.5;14885.25;14875.25;14877.75;780
2992023 162100;14884.25;14884.5;14875.5;14877.75;810
2992023 162000;14892.25;14894.5;14882.25;14884.25;944
2992023 161900;14876;14895.75;14875.75;14892;1217
2992023 161800;14879;14884.75;14874;14876.5;969
2992023 161700;14884.5;14885.25;14874.25;14878.5;849
2992023 161600;14879.75;14889.25;14878;14884.5;980
2992023 161500;14895;14895.25;14876;14880;1436
2992023 161400;14885;14902;14884;14895.75;1847
2992023 161300;14881;14885.25;14877.25;14885.25;1053
2992023 161200;14873.75;14880.5;14866.5;14880.5;981
2992023 161100;14875.25;14876.25;14865.75;14873.5;1253
2992023 161000;14885;14887;14873.25;14875;1508
2992023 160900;14884;14895.75;14883.5;14885.25;1419
2992023 160800;14885.25;14887.5;14879.25;14883.25;714
2992023 160700;14880;14889;14879.25;14885.25;1044
2992023 160600;14875.5;14885.5;14874.5;14879.75;1485
2992023 160500;14878.75;14881.25;14864.75;14875.5;2091
2992023 160400;14907.75;14908;14875;14878.75;3318
2992023 160300;14906;14910.75;14902.5;14907.75;947
2992023 160200;14903.25;14910.5;14901.25;14906.5;1098
2992023 160100;14902.25;14909.5;14900.25;14903.5;2304
2992023 160000;14892;14904;14890.75;14902.5;1722
2992023 155900;14897;14899;14887.75;14891.75;1554
2992023 155800;14882;14898;14879.75;14897.25;3148
2992023 155700;14880.25;14885.5;14877.5;14881.5;1328
2992023 155600;14863.75;14883.75;14862.5;14880.25;2045
2992023 155500;14856.5;14864.5;14853;14864;898
2992023 155400;14852.25;14859;14850.75;14856;612
2992023 155300;14852;14857.5;14851.5;14852.5;430
2992023 155200;14853.25;14855.75;14849.75;14851.75;737
2992023 155100;14856.25;14863.25;14852.5;14852.75;795
2992023 155000;14856.25;14861.25;14855.75;14856.25;525
2992023 154900;14861.75;14864.25;14851.75;14856.25;945
2992023 154800;14866.25;14867.25;14858.5;14862;744
2992023 154700;14866;14869.25;14860.25;14866.5;766
2992023 154600;14865.5;14870.5;14862.25;14866.25;918
2992023 154500;14868;14872.75;14864.25;14865.75;1410
2992023 154400;14851.75;14867.75;14850.25;14867.75;1450
2992023 154300;14843;14853.5;14841.5;14851.75;769
2992023 154200;14842.5;14850;14839.75;14842.75;1439
2992023 154100;14833;14843;14831.25;14842.5;1025
2992023 154000;14827.5;14836.5;14824.5;14833.25;1052
2992023 153900;14833.5;14835;14827.25;14827.5;424
2992023 153800;14832.75;14835.25;14830;14833.25;529
2992023 153700;14837;14838;14829;14832.75;694
2992023 153600;14831;14839;14828.25;14836.5;1002
2992023 153500;14823;14836.5;14820.25;14831.25;1274
2992023 153400;14816.25;14825;14811;14822.75;1502
2992023 153300;14830;14830.75;14814.75;14816.5;1627
2992023 153200;14826;14832.5;14825.75;14829.5;625
2992023 153100;14822;14829;14817.75;14825.75;1795
2992023 153000;14834;14835;14817.25;14821.75;2224
2992023 152900;14848.25;14850.5;14831.25;14834.5;1734
2992023 152800;14854;14856.75;14847;14848.75;710
2992023 152700;14854;14859.75;14850.25;14854;1224
2992023 152600;14849.5;14857.25;14849;14854.25;1342
2992023 152500;14842;14852.5;14839;14849.25;1354
2992023 152400;14835;14846.5;14828.25;14842.5;1139
2992023 152300;14830.5;14836;14824.25;14834.5;689
2992023 152200;14833.75;14836;14829;14831;602
2992023 152100;14824;14835;14822.5;14834;733
2992023 152000;14822.5;14828.75;14821.5;14824;474
2992023 151900;14820.25;14828.5;14819.5;14822;785
2992023 151800;14835.75;14836.5;14818.25;14820;1405
2992023 151700;14833.25;14841.5;14831.75;14836.5;801
2992023 151600;14833.5;14840;14832;14833.75;653
2992023 151500;14836.5;14843;14833;14834;1066
2992023 151400;14834;14840.5;14832.5;14836.75;516
2992023 151300;14830.75;14839.75;14830;14833.25;618
2992023 151200;14828.5;14835.5;14827.5;14830.25;780
2992023 151100;14828.75;14836.5;14825;14828.25;920
2992023 151000;14830.5;14834.25;14825.25;14828.5;1117
2992023 150900;14836;14838.25;14829;14829.75;631
2992023 150800;14831;14838.75;14828;14836.25;756
2992023 150700;14829.25;14836.75;14824;14830.5;1154
2992023 150600;14836;14843.25;14828.75;14829.25;1208
2992023 150500;14831.75;14839;14831.5;14836.5;1227
2992023 150400;14819;14835.5;14817.25;14832;1384
2992023 150300;14821.75;14825;14817.25;14819.25;936
2992023 150200;14822;14826.5;14816.75;14822;1245
2992023 150100;14820;14828;14819.25;14822.25;1823
2992023 150000;14820.75;14824.75;14820;14820;1014
2992023 145900;14834;14835.75;14819.75;14821.25;2035
2992023 145800;14846.5;14848;14832.5;14834.25;913
2992023 145700;14844.75;14852;14843.25;14846.5;693
2992023 145600;14841;14847;14839;14845;732
2992023 145500;14852;14857;14840;14840.75;1273
2992023 145400;14836;14852;14835.25;14852;985
2992023 145300;14841.25;14845.5;14835;14835.75;874
2992023 145200;14845;14849;14840.75;14841.5;640
2992023 145100;14845.5;14850;14839.75;14844;949
2992023 145000;14854;14855.25;14838.75;14845.5;1527
2992023 144900;14859.5;14860.25;14850.25;14853.5;1506
2992023 144800;14866.25;14868;14859.5;14859.75;471
2992023 144700;14859.5;14867.25;14856;14866.5;718
2992023 144600;14864.75;14869.5;14857.75;14860.25;678
2992023 144500;14868.5;14872.25;14863.25;14865;577
2992023 144400;14868.75;14873;14867;14868.5;962
2992023 144300;14858.5;14869;14858.25;14868.75;687
2992023 144200;14854.25;14866.75;14854;14858.25;717
2992023 144100;14860.25;14862.25;14853.25;14854.5;467
2992023 144000;14856.5;14864;14854.5;14861;497
2992023 143900;14858.5;14864.75;14855.75;14856.75;600
2992023 143800;14855;14861.25;14852.5;14858.25;723
2992023 143700;14866.5;14867.75;14855;14855;636
2992023 143600;14857.75;14867;14855.5;14866.75;737
2992023 143500;14854.75;14859.75;14852;14858.5;1156
2992023 143400;14866.5;14868.75;14854;14854.75;1205
